,Sequence,label
1294,STVAIE,0
1295,VQIINK,1
1296,PDAGYQ,0
1297,ISLSGD,0
1298,LATVHV,1
1299,TAMLGT,1
1300,TVFHIG,0
1301,GRIGIA,0
1302,KLVFFA,1
1303,STFLIE,1
1304,SSVIIE,1
1305,VQIVYF,1
1306,MSDSNQ,0
1307,STVRIE,0
1308,KLFIIQ,1
1309,GQQNQY,0
1310,GNNSGP,0
1311,NNNSSS,0
1312,MERLRI,0
1313,VATTRT,0
1314,GRGNYK,0
1315,ANATKK,0
1316,HYFNIF,1
1317,NTIFVQ,0
1318,VVIVYK,1
1319,NSGAAI,0
1320,VTLWWG,1
1321,VVPQYG,0
1322,YNPDAG,0
1323,APKPKK,0
1324,STLLIE,0
1325,TAVVTN,1
1326,MQIVYK,1
1327,VQIVFK,1
1328,VQIVGK,1
1329,MGGGMN,0
1330,QQNQSG,0
1331,ISMTTS,0
1332,FYLLYY,1
1333,TTVIIE,1
1334,DVGQGS,0
1335,FIVNIV,1
1336,VQTVYK,1
1337,SQNGNQ,0
1338,QQSYGQ,0
1339,GTVWWG,1
1340,NNQNTF,1
1341,QYGGNA,1
1342,VSIVYK,1
1343,PAESDK,0
1344,NFGAFS,0
1345,ILQINS,1
1346,LSTVYV,1
1347,KYLNWD,0
1348,FKQIGI,0
1349,NYVWIV,1
1350,SNNFGA,0
1351,FQIVYK,1
1352,PVKKEE,0
1353,STVLIE,1
1354,SINPAM,0
1355,LVFYQQ,1
1356,AALQSS,0
1357,IGRTLV,0
1358,NSNLTA,0
1359,SRHPAE,0
1360,IEMIFV,1
1361,QGNNRY,0
1362,LADVYV,0
1363,SIEDSV,0
1364,VTLHAT,1
1365,QPAGGY,0
1366,DETVIV,0
1367,NNTIFV,0
1368,KAAIDW,0
1369,GGGMNF,0
1370,LATVYR,0
1371,KCWCFT,1
1372,QYNPDA,0
1373,GGNHGG,0
1374,NATVYV,1
1375,RQFNQT,0
1376,ANNYSS,0
1377,TAWYAE,0
1378,ALALQT,0
1379,EQIVYK,1
1380,STTVVT,0
1381,SSTNVG,1
1382,LAFVYV,1
1383,ELNIYQ,0
1384,STVKIE,0
1385,STLIFE,0
1386,HTAVTT,0
1387,LIVAGS,1
1388,KTKQGV,1
1389,GYYQNY,0
1390,MLASRQ,0
1391,EYSNFS,1
1392,PNSANS,0
1393,IATVYV,1
1394,LAAVYV,1
1395,GGGNGA,0
1396,STLTIE,0
1397,YGGGGN,0
1398,VQDVYK,0
